model,pool,targets,mean_hits,expected,lift,cov3,cov3_exp,cov4,cov4_exp,cov5,cov5_exp,cov6,cov6_exp,dev_mean,conf_mean,p_full,p_dev,p_conf,p_full_holm
freq_all,6,129,1.0,0.9473684210526315,1.0555555555555556,0.046511627906976744,0.03869806036988699,0.007751937984496124,0.0027648975017396066,0.0,6.991028662855287e-05,0.0,3.62229464396647e-07,1.046875,0.9538461538461539,0.25094326669170786,0.18778988001142005,0.49978670735893116,1.0
freq_all,8,129,1.2868217054263567,1.263157894736842,1.0187338501291991,0.07751937984496124,0.09400506614128905,0.023255813953488372,0.011648575116067376,0.0,0.0006186879251894731,0.0,1.0142425003106117e-05,1.28125,1.2923076923076924,0.4019844790850878,0.4610224271682946,0.42259754581920883,1.0
freq_all,10,129,1.6356589147286822,1.5789473684210527,1.0359173126614987,0.17054263565891473,0.17378538121572176,0.023255813953488372,0.03138573417211187,0.0,0.002631959288306037,0.0,7.606818752329587e-05,1.671875,1.6,0.2737635433796991,0.2473964371888676,0.45448002972084367,1.0
freq_all,12,129,1.945736434108527,1.894736842105263,1.026916451335056,0.32558139534883723,0.27326264787565097,0.03875968992248062,0.06606739424076885,0.0,0.007793729155958257,0.0,0.00033470002510250184,1.96875,1.9230769230769231,0.30564983727419703,0.30709337476440557,0.4355429382073121,1.0
freq_all,15,129,2.37984496124031,2.3684210526315788,1.004823428079242,0.4728682170542636,0.4438122332859174,0.16279069767441862,0.15192591972777728,0.0,0.02683178534571723,0.0,0.001812958469305218,2.28125,2.476923076923077,0.4685221869729731,0.752056845993774,0.23228893681615295,1.0
freq_all,20,129,3.13953488372093,3.1578947368421053,0.9941860465116278,0.6744186046511628,0.7206037206037206,0.3875968992248062,0.38364338364338363,0.12403100775193798,0.11512811512811516,0.023255813953488372,0.01404001404001404,3.046875,3.230769230769231,0.5880411708504807,0.798458863857168,0.3222170988080959,1.0
freq_w10,6,129,1.0077519379844961,0.9473684210526315,1.0637381567614126,0.023255813953488372,0.03869806036988699,0.0,0.0027648975017396066,0.0,6.991028662855287e-05,0.0,3.62229464396647e-07,1.09375,0.9230769230769231,0.21880743700278643,0.09241391841653701,0.6176186273501743,1.0
freq_w10,8,129,1.3565891472868217,1.263157894736842,1.073966408268734,0.07751937984496124,0.09400506614128905,0.007751937984496124,0.011648575116067376,0.0,0.0006186879251894731,0.0,1.0142425003106117e-05,1.328125,1.3846153846153846,0.1369456004220511,0.308732159663642,0.16154065448159732,1.0
freq_w10,10,129,1.7131782945736433,1.5789473684210527,1.0850129198966407,0.2248062015503876,0.17378538121572176,0.023255813953488372,0.03138573417211187,0.0,0.002631959288306037,0.0,7.606818752329587e-05,1.6875,1.7384615384615385,0.07071015639857298,0.21010323965070513,0.1117494262170861,1.0
freq_w10,12,129,2.046511627906977,1.894736842105263,1.0801033591731266,0.3333333333333333,0.27326264787565097,0.06976744186046512,0.06606739424076885,0.007751937984496124,0.007793729155958257,0.0,0.00033470002510250184,2.015625,2.076923076923077,0.056907165142804986,0.19603828143948196,0.09256095215406172,1.0
freq_w10,15,129,2.503875968992248,2.3684210526315788,1.057192075796727,0.5038759689922481,0.4438122332859174,0.1937984496124031,0.15192591972777728,0.023255813953488372,0.02683178534571723,0.0,0.001812958469305218,2.578125,2.4307692307692306,0.08999533877506932,0.07381177817994862,0.34526226888705686,1.0
freq_w10,20,129,3.13953488372093,3.1578947368421053,0.9941860465116278,0.6821705426356589,0.7206037206037206,0.40310077519379844,0.38364338364338363,0.14728682170542637,0.11512811512811516,0.023255813953488372,0.01404001404001404,3.203125,3.076923076923077,0.5880411708504807,0.3964534574236981,0.7353065809317352,1.0
